Date,Inflation,Annual_inflation
199501,0.041260786,0.019642457
199502,0.054794616,0.019552089
199503,0.013659649,0.020690393
199504,0.0408859,0.024097552
199505,0.02718008,0.027524673
199506,0,0.025201792
199507,0.027118656,0.023987444
199508,-0.027118656,0.020572154
199509,0.013566988,0.020548668
199510,-0.013566988,0.021727556
199511,0.040655036,0.019351771
199512,-0.027088048,0.015945668
199601,0.013551667,0.013636575
199602,0.01353638,0.010198389
199603,0.067453803,0.014681235
199604,0.026875711,0.013513719
199605,0.040201043,0.014598799
199606,0,0.014598799
199607,0,0.012338911
199608,0,0.014598799
199609,0.013370475,0.014582423
199610,0.02669634,0.017937701
199611,0.053215165,0.018984378
199612,-0.013281684,0.020134908
199701,0.026548683,0.021217993
199702,0.026490077,0.022297468
199703,0.013223142,0.017778246
199704,0,0.015538603
199705,0.013208587,0.013289232
199706,0.026373637,0.015487035
199707,0,0.015487035
199708,0.013165114,0.016584128
199709,0,0.015469922
199710,0,0.013245227
199711,-0.013165114,0.007713537
199712,-0.013179573,0.007722046
199801,0.052631663,0.009895628
199802,0.013121926,0.008781615
199803,0.013107593,0.008771986
199804,-0.013107593,0.007679687
199805,0.039279904,0.009852296
199806,0.013064781,0.008743225
199807,0,0.008743225
199808,0,0.007646132
199809,-0.026143801,0.005467482
199810,0.052230768,0.009820046
199811,0,0.010917139
199812,-0.039151748,0.008752791
199901,0.026115353,0.006543099
199902,0.013036395,0.006535971
199903,0.052004415,0.009777373
199904,0.064690184,0.016260521
199905,0.025778742,0.015135424
199906,0.025723483,0.016190316
199907,0.038482128,0.01939716
199908,0.025586364,0.021529357
199909,0.038277544,0.026897802
199910,0.012732097,0.023606246
199911,-0.025477717,0.021483103
199912,0.01274562,0.025807884
200001,-0.025504792,0.021506205
200002,0.076352325,0.026782533
200003,0.088468015,0.029821166
200004,-0.037835029,0.021277398
200005,0.050420242,0.023330857
200006,0.075235356,0.027456846
200007,0.037441528,0.02737013
200008,-0.012467534,0.024198971
200009,0.049792603,0.02515856
200010,0.024819037,0.026165805
200011,0.037132572,0.031383329
200012,0.012352034,0.03135053
200101,-0.049484606,0.029352212
200102,0.061823939,0.028141513
200103,0.036942051,0.023847683
200104,0.073544663,0.033129324
200105,0.097363617,0.037041272
200106,0.012115094,0.03178125
200107,-0.036382039,0.025629286
200108,0,0.026668247
200109,0.024266945,0.024541109
200110,-0.060759623,0.017409554
200111,-0.122450042,0.004111003
200112,0.024590173,0.005130848
200201,0.024539886,0.011299555
200202,0.073319984,0.012257559
200203,0.072874718,0.015251948
200204,0.060392679,0.014155949
200205,0.024072225,0.008048333
200206,0.012018028,0.008040244
200207,0.047952112,0.01506809
200208,0.047761257,0.019048195
200209,0,0.01702595
200210,0.035696605,0.025063969
200211,0.035590733,0.038234033
200212,-0.047477807,0.032228368
200301,0.106562121,0.039063555
200302,0.093933943,0.040781385
200303,0.035036521,0.037628202
200304,-0.081911581,0.025769513
200305,0.011735942,0.02474149
200306,0,0.023739987
200307,0.011724476,0.020721018
200308,0.035104852,0.019666317
200309,0.023346311,0.021611843
200310,-0.035036521,0.015717416
200311,0.035036521,0.015671232
200312,0.011656145,0.020599061
200401,0.011644834,0.012689287
200402,0.023255821,0.006799443
200403,0.034799444,0.006779687
200404,0.023143691,0.015534293
200405,0.103597766,0.023189445
200406,0.011455848,0.024144099
200407,-0.011455848,0.022212405
200408,-0.022944558,0.017374954
200409,0.022944558,0.017341475
200410,0.02290077,0.022169583
200411,0.045670845,0.023055776
200412,-0.022813695,0.02018329
200501,-0.011423133,0.018260959
200502,0.045627431,0.02012526
200503,0.068117496,0.022901764
200504,0.033914295,0.023799315
200505,0.011283499,0.016106459
200506,0.022535218,0.01702974
200507,0.022492978,0.019858809
200508,0.044859865,0.025509177
200509,0.100325712,0.031957607
200510,-0.055632923,0.025413132
200511,-0.022325588,0.019746763
200512,-0.011178389,0.020716372
200601,0.066914672,0.027244522
200602,-0.022263457,0.021586948
200603,0.066666838,0.02146606
200604,0.066298511,0.024164745
200605,0.054970321,0.027805313
200606,-0.02195792,0.024097552
200607,0.065753589,0.027702603
200608,0.021838041,0.025784117
200609,-0.06563371,0.011954165
200610,-0.02195792,0.014760416
200611,0.032921831,0.019364367
200612,0.021897816,0.022120718
200701,0,0.016544495
200702,0.087193844,0.025665937
200703,0.097341678,0.028222173
200704,0.053739454,0.027175585
200705,0.053499866,0.027053047
200706,-0.032071289,0.026210267
200707,0.02139038,0.022513333
200708,-0.032099885,0.018018506
200709,0.021409462,0.025272103
200710,-0.042857188,0.023530497
200711,0.042857188,0.024358444
200712,0.010690424,0.023424494
200801,0.042666712,0.026980054
200802,0.042515545,0.023256862
200803,0.042365446,0.018675509
200804,0.094778904,0.022095464
200805,0.114833412,0.027206593
200806,0.082830355,0.036781729
200807,0.041201757,0.038432678
200808,-0.020583195,0.039392402
200809,0.010296011,0.038466281
200810,-0.124139038,0.031692793
200811,-0.041666709,0.024649135
200812,-0.083769974,0.016777435
200901,-0.031565121,0.010591449
200902,0.083989844,0.014047641
200903,0.020905929,0.012259348
200904,-0.010448412,0.003490405
200905,0.083333668,0.000865426
200906,0.041450818,-0.002582868
200907,-0.041450818,-0.009470583
200908,0,-0.007755317
200909,0,-0.008613318
200910,-0.010385115,0.000866176
200911,0.062176305,0.00951976
200912,-0.041415054,0.013049337
201001,0.031074683,0.018269321
201002,0.051612983,0.015571249
201003,0,0.013829088
201004,0.041131146,0.018127385
201005,0.030756104,0.013745921
201006,-0.010243278,0.009438079
201007,-0.020512826,0.011182912
201008,-0.010269577,0.010327114
201009,0.020530373,0.012037979
201010,0.051172785,0.017167804
201011,0.010208423,0.012837147
201012,0,0.016288401
201101,0.010199746,0.014548823
201102,0.030547322,0.012793351
201103,0.131480456,0.023750056
201104,0.040167402,0.023669744
201105,0.079933684,0.027767876
201106,-0.079933684,0.021960342
201107,0.020033394,0.025339194
201108,0.029987521,0.028693952
201109,0.02991277,0.029475818
201110,0.019900502,0.026869795
201111,0.009937889,0.02684725
201112,-0.069738677,0.021035694
201201,0.029937645,0.022680519
201202,0.049730697,0.024279133
201203,0.049525452,0.01744955
201204,0.049321894,0.018212424
201205,-0.009848175,0.010730602
201206,-0.049362472,0.013278203
201207,-0.009896908,0.010784012
201208,0.02966627,0.010757241
201209,0.019736847,0.009909247
201210,0.019704438,0.009892908
201211,-0.029568803,0.006600684
201212,-0.069278543,0.006639029
201301,0.009921456,0.004971013
201302,0.138045894,0.012330612
201303,0.019591841,0.009836145
201304,-0.009791922,0.004909993
201305,0.029351829,0.00817666
201306,0,0.0122902
201307,0.00976801,0.013928943
201308,0,0.011456754
201309,0.019512199,0.011438033
201310,-0.02928021,0.007355979
201311,0,0.009820046
201312,-0.029351829,0.013147272
201401,0.039119839,0.015580471
201402,0.087556124,0.01137299
201403,0.067660268,0.015378692
201404,0.038492415,0.019402387
201405,0.057508097,0.021748743
201406,0,0.021748743
201407,-0.01913876,0.019339845
201408,0,0.019339845
201409,0.009573196,0.018511595
201410,0.009565564,0.021748743
201411,-0.047904255,0.017756722
201412,-0.077046814,0.01378214
201501,-0.02902057,0.008103772
201502,0.106067384,0.009646377
201503,0.086090445,0.011182225
201504,-0.009535161,0.007179927
201505,0.066587567,0.00793655
